IDENTIFICADOR;SKU;Lojas Guaporé;Player 1;Price 1;Player 2;Price 2
7897826105438    ;Gart-113028-003;;;;;
7897826105469    ;Gart-113028-006;;;;;
7897826105773    ;Gart-113030-004;;;;;
7897826105803    ;Gart-113030-007;;;;;
7897826105810    ;Gart-113030-008;;;;;
7897826106237    ;Gart-113038-007;;;;;
7897826106329    ;Gart-113039-005;;;;;
7897826106459    ;Gart-113040-007;;;;;
7897826106473    ;Gart-113040-009;;;;;
7897826106541    ;Gart-113045-005;;;;;
7897826106664    ;Gart-113046-006;;;;;
7897826106718    ;Gart-113046-011;;;;;
7897826106824    ;Gart-113050-011;;;;;
7897826106930    ;Gart-113051-011;;;;;
7897826105223    ;Gart-153026-004;;;;;
7897826105254    ;Gart-153026-007;;;;;
7897826105261    ;Gart-153026-008;;;;;
7897826105551    ;Gart-153028-004;;;;;
751320389961    ;502-BR;;;;;
9008606176021    ;EGLO-95499V;;;;;
7898626574127    ;MIDEA-LSA101;;;;;
7898626574165    ;MIDEA-LSX121;;;;;
7894202002282    ;AP.346.17;;;;;
7891461279660    ;904106    ;;;;;
7891461291907    ;916406    ;;;;;
7891461306939    ;917170    ;;;;;
7891461294571    ;918506    ;;;;;
7891461307004    ;919369    ;;;;;
7891461310769    ;919444    ;;;;;
7891461294687    ;919606    ;;;;;
7891461310707    ;919870    ;;;;;
7891461307042    ;926170    ;;;;;
7894201059379    ;10085619    ;;;;;
7894201059263    ;10085608    ;;;;;
7894201058501    ;10085571    ;;;;;
7896779461035    ;7896779461035    ;;;;;
7896779404230    ;7896779404230    ;;;;;
7896779401697    ;7896779401697    ;;;;;
7894693768858    ;94540053    ;;;;;
7891222263174    ;HA308XCQ-BR;;;;;
7891222259535    ;H085BCQ-BR;;;;;
7891222161142    ;HA088WC-BR;;;;;
7891222146552    ;HA017BC-BR;;;;;
7891222153031    ;HA038XC-BR;;;;;
7891222201756    ;HA087BC-BR;;;;;
7891222262177    ;HA026BCQ-BR;;;;;
7891222259696    ;H087XCQ-BR;;;;;
7891222191897    ;HA015XC-BR;;;;;
7891222262115    ;HA017BCQ-BR;;;;;
7891222148884    ;HA026BC-BR;;;;;
7891222089538    ;H052XC-BR;;;;;
7891222259290    ;H057BCQ-BR;;;;;
7891222062289    ;H078BC-BR;;;;;
7891222065228    ;H144BC-BR;;;;;
7891222260890    ;H188XCQ-BR;;;;;
7891222106457    ;H208BC-BR;;;;;
7891222259337    ;H057XCQ-BR;;;;;
7891222260555    ;H158BCQ-BR;;;;;
7891222259276    ;H055XCQ-BR;;;;;
7891222062081    ;H075XC-BR;;;;;
7891222062326    ;H078XC-BR;;;;;
7891222089514    ;H052BC-BR;;;;;
7891222259412    ;H075BCQ-BR;;;;;
7891222260371    ;H144BCQ-BR;;;;;
7891222320792    ;H045XCQ-BR;;;;;
7891222063101    ;H096XC-BR;;;;;
7891222064061    ;H126XC-BR;;;;;
7891222260074    ;H125BCQ-BR;;;;;
7891222261156    ;H237BCQ-BR;;;;;
7891222064306    ;H128XC-BR;;;;;
7891222302590    ;H107XC-BR;;;;;
7891222260654    ;H165XCQ-BR;;;;;
7891222145333    ;H267XC-BR;;;;;
7891222149911    ;H278XC-BR;;;;;
7891222262818    ;HA165XCQ-BR;;;;;
7891222262719    ;HA135BCQ-BR;;;;;
7891222262771    ;HA165BCQ-BR;;;;;
7891222260715    ;H168XCQ-BR;;;;;
7891222090312    ;H196XC-BR;;;;;
7891222261095    ;H228BCQ-BR;;;;;
7891222263372    ;HA378BCQ-BR;;;;;
7891222263235    ;HA318XCQ-BR;;;;;
7891222199916    ;ACP15-2X-BR;;;;;
7891222196519    ;ACP25-17-BR;;;;;
7891222095331    ;SH-BH5AC;;;;;
7891222292266    ;SH-AFB15-BR;;;;;
7891222166796    ;ES-BH126;;;;;
7891222194690    ;ES-BH107;;;;;
7898960394108    ;3D-011-Cretaccio;;;;;
7898960394160    ;3D-018-Pontinas;;;;;
7898960394184    ;3D-020-Tiberina;;;;;
7898152180700    ;20200202    ;;;;;
50375018964    ;IN-44837AL;;;;;
7898152186801    ;FW005873;;;;;
7898152180687    ;FW005406;;;;;
7898152181370    ;FW005735;;;;;
7898152188164    ;FW006115;;;;;
7898152188201    ;FW006127;;;;;
7898152188225    ;FW006129;;;;;
7894023050233    ;VR012;;;;;
7894023036039    ;CRP12;;;;;
7892175050293    ;M-4618-6;;;;;
7892175006320    ;M-4488-1;;;;;
7898964436132    ;T-1203;;;;;
7898964436514    ;T-3205;;;;;
7898964436057    ;T-1105;;;;;
7898964436309    ;T-2110;;;;;
7898964436347    ;T-2203;;;;;
7898964436385    ;T-2208;;;;;
7898338263579    ;ARKE-5044;;;;;
7898338262855    ;ARKE-5136;;;;;
7898338262886    ;ARKE-5144;;;;;
7900000197539    ;KDT-2117;;;;;
7900000197690    ;KDT-3046;;;;;
7900000197843    ;KDT-2437;;;;;
7891594049512    ;G018-CIAPAP;;;;;
7891594049529    ;G019-CIAPAP;;;;;
7894395001000    ;T-CIN30001;;;;;
7894395006296    ;T-GRC00069;;;;;
7898425485310    ;7965658    ;;;;;
7898425522299    ;7951880    ;;;;;
7898425485204    ;7965677    ;;;;;
7898425523159    ;7951252    ;;;;;
7898425523135    ;7951250    ;;;;;
7898425523142    ;7951251    ;;;;;
7898425522558    ;7959032    ;;;;;
7898425523845    ;7959272    ;;;;;
7899525665275    ;MART-6527;;;;;
7899525665312    ;MART-6531;;;;;
7899525665541    ;MART-6554;;;;;
7899525664513    ;MART-6451;;;;;
7899525664520    ;MART-6452;;;;;
7899525664568    ;MART-6456;;;;;
7899525666517    ;MART-6651;;;;;
7899525666524    ;MART-6652;;;;;
